A,B,C,D
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",have it airing because the true flavour of the wine will be more aired than what you get when you first open that bottle </u><u>,right,so like what the manufacturers want you to taste is open aired </u><u> well you can''t think if you''re having nice wine coming off
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",drawer and the gloves </u><u> oh right I quite like these I like the colour of them </unclea> </u><u>,right,is there something else in here I''m just gonna draw the thing lovely </u><u> does anyone want blue gloves? </u><u> alright thanks </u><u> blue
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",seeds </u><u> cheesy </u><u> this feels like seeds as well </u><u> little no </u><u> yeah </u><u> it''s not I was gonna go for little cheesy crackery thingies </u><u>,right,three two I was gonna </u><u> </unclea> </u><u> oh </u><u> </u><u> </unclea> </u><u> I''ve got pine nuts awesome </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",to me opening macadamia nuts? </u><u> I''m certainly not opposed </u><u> violently opposed to it </unclea> </u><u> </u><u>,right,this is for you two and thank you for having us oh thank you </u><u> woo </u><u> I recognise this bag is it very old? </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",good with erm ginger ale and </u><u> there you go that''s what we''re talking about </u><u> we''ve got juice I think it''ll be nice with juice </u><u>,right,presents </u><u> here we go </u><u> how very diplomatic </u><u> </u><u> thank you very much no I like it anyway </u><u> oh it''s so tasty yum yum yum </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",I don''t like it so </u><u> </unclea> honesty </u><u> oh </u><u> best policy </u><u> thank you </u><u> </u><u> ah birthday excellent </u><u>,right,you can open that cos that''s for you and </u><u> oh right </u><u> now equally actually this is a bit of a
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",I open this? </u><u> yes </u><u> that''s what you wrapped this morning </u><u> which one is that? is that one </u><u> </u><u> </u><u> </u><u>,right,erm oh the tag''s come off so I can''t remember if that is to one of you or both of you ah no this is to both of you </u><u> ah </u><u> but you need
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> get in there </u><u> I didn''t think I''d be guessing chocolate monkey at anything but I dunno </u><u> </u><u>,right,I''m opening this one I''m opening this one </u><u> oh really good it''s brilliant damn </u><u> right
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> right I''m opening this one I''m opening this one </u><u> oh really good it''s brilliant damn </u><u>,right,damn really fine </u><u> damn oh </unclea> </u><u> jungle speed safari </u><u> ah
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",? </u><u> yeah that''s perfectly fine thank you </u><u> </u><u> that''s brilliant awesome it''s what just was required </u><u> mm </u><u>,right,into my little pile of stuff right here </u><u> yeah not interesting but required </u><u> tr trade mm mm </u><u> er what one we''re in? </u><u> the long one
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",goes in my list </u><u> mm mm mm mm </u><u> mm </u><u> did you put? </u><u> olive oil </u><u> </u><u> that was good </u><u> mm mm mm mm mm mm mm mm mm </u><u> </u><u>,right,I''m gonna say this </u><u> this one''s about the right </unclea> </u><u> is some kind of stick for beating children </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",you said does it begin with B? yes </u><u> </u><u> ah </u><u> </unclea> </u><u> er come on I want another question </u><u>,right,er in Donkey Kong Country for the SNES </u><u> </u><u> </u><u> a second </u><u> </u><u> a second
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",like yeah </u><u> yeah it''s all and now it''s been surpassed </u><u> yeah </u><u> been surpassed twice now </u><u> </unclea> </u><u> mm </u><u>,right,what one might be </u><u> mm </u><u> potentially doable? </u><u> </u><u> </u><u> skip skip skip </u><u> no </u><u> oh come on give us some hard
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",just shed it I just thought it''d been like chopped off some reindeer which is just like </u><u> no they do shed them yeah </u><u> brutal </u><u>,right,I''m gonna make a bag gonna make a bag of things down here </u><u> but Norwegians wouldn''t stop at you know they do
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",get rid of stuff </u><u> </unclea> </u><u> was gonna take your shoe </u><u> nice and small </u><u> awesome </u><u> no maybe </u><u>,right,well I''m excited about this tea personally </u><u> it''s on the side in her bedroom? </u><u> what? </u><u> we''re having some tea </u><u> no we looked it up
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> absolutely foul </u><u> anyone want this? </u><u> oh yeah I''ll have it </u><u> mm mm mm mm </u><u> very nice </u><u> I''m gonna take these downstairs </u><u>,right,I''ll leave the sherry out here cos I might have some sherry at some point </u><u> are you gonna leave this up here then? </u><u>
"Discussing|Explaining|Inquiring,The art",<u> I''ll just see where this coffee went </u><u> mm what happened? </u><u> oh he''s gonna bring it </unclea> </u><u>,right,so what do you think? what did you think about? </u><u> well erm yeah I mean you know he''s erm he''s an interesting
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",hello my baby hello my honey </u><u> no hello my honey hello my baby </u><u>,right,scrambled eggs for you it''s alright I''ll do that sit down </u><u> okay </u><u> okay hello my baby
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",would you like to be my little cheflet ? </u><u> I''m the top cheflet </u><u> you''re the </u><u> top cheflet </u><u> the top cheflet </u><u>,right,let''s go and make us some pizzas </u><u> let''s mm mamma mia pizza </unclea> </u><u> so wo wo will people not be making their own
"Discussing|Explaining,(Unknown)",<u> yes </u><u> it was </u><u> yeah </u><u> chilling </u><u> yeah what''s the the wine that is drinking the white one? </u><u> oh I don''t know </u><u> it''s very nice </u><u>,right,if I could have you please darling </u><u> I don''t know don''t know is that </u><u> mm </u><u> a French one? </u><u> yeah </u><u> yeah it''s one of yours </u><u> it
"Discussing|Explaining,(Unknown)",the key was there and everything it''s all in the hole </u><u> oh right yeah </u><u> you know so </u><u> the little black key that you were usi </u><u> yeah </u><u>,right,yeah </u><u> so it''s all there </u><u> and are there two two pipes </u><u> I d if </u><u> lead off to? </u><u> I don''t I well I don''t know cos there is a meter so I don''t
"Discussing|Explaining,(Unknown)",my working life in this country was spent in boarding schools so you know I lived above the shop the whole time </u><u>,right,you didn''t have to worry about </u><u> no travelling at all </u><u> yeah </u><u> yeah and out in of course </u><u> oh </unclea> </u><u> I
"Discussing|Explaining,(Unknown)",watch it on Iplayer but cos er some of the Greek islands Lesbos the the population on the island has almost been doubled </u><u>,right,yeah yeah </u><u> by the presence of all sorts of people </u><u> mm </u><u> you know yes yeah </u><u> I expect the er the tourist industry will
"Discussing|Explaining,(Unknown)",? this is </u><u> this is the </u><u> yes the </u><u> the </u><u> Pulciano </u><u> Italian </u><u> yeah mm </u><u> mm </u><u> I think you''ll like actually it''s a nice sort of </u><u>,right,I need someone to serve plates </u><u> </u><u> oh now look he''s even made made stuffing balls </u><u> mm </u><u> clever lad he is you do a lot of
"Discussing|Explaining,(Unknown)",and you get carrots and then well then you''re gonna put that on my plate there </u><u> mint sauce important </u><u> thank you </u><u> thank you </u><u>,right,could we have the salt mummy? it''s in the top right cupboard in a tall squirty thing not squirty grindy thing
"Discussing|Explaining,(Unknown)",designer as my timer </u><u> yes it''s an Italian one isn''t it? </u><u> yeah </u><u> erm </u><u> is it the man who did the? </u><u> it''s his </u><u> no </u><u> grandson or something </u><u>,right,the the fellow who did the Mini? </u><u> oh no no sorry I thought you meant Bialetti coffee maker </u><u> yeah </u><u> oh right </u><u> no I think it''s
"Discussing|Explaining,(Unknown)",so we''re gonna keep the kitchen where it is but just knock a big hole through the wall to it brings it into the sitting room </u><u>,right,yes yes </u><u> so </u><u> yeah but as you say it''s only after you''ve lived there for a for somehow that you can </u><u> mm </u><u> get the feel of the place </u>
"Discussing|Explaining,(Unknown)",sleep on the terraces anyway in winter what what we will do is we''ll borrow one of a ou our neighbour''s houses you know and </u><u>,right,yeah yeah </u><u> you know just can we can we borrow your bedroom for the next week? </u><u> mm </u><u> yeah which is er er and er yeah so so and I
"Discussing|Explaining,(Unknown)",is different so I I went right the way across to the other side of the Japan </u><u> yes </u><u> to </u><u> yeah </u><u> to erm Sado </u><u> yeah </u><u> the other end of Sado? </u><u>,right,yeah </u><u> and apparently that''s the best ri that''s where the best rice comes from </u><u> right yeah </u><u> well that area </u><u> yeah </u><u> and then we
"Discussing|Explaining,(Unknown)",<u> to erm Sado </u><u> yeah </u><u> the other end of Sado? </u><u> right yeah </u><u> and apparently that''s the best ri that''s where the best rice comes from </u><u>,right,yeah </u><u> well that area </u><u> yeah </u><u> and then we went got on a ferry and went across to the island and it''s quite </u><u> yeah </u><u> it''s quite famous
"Discussing|Explaining,(Unknown)",could be Ian McKellen </u><u> mm </u><u> or are we just gonna name gay actors? but it''s it''s one that''s </u><u> I think it is Ian McKellen actually </u><u>,right,on the waterfront </u><u> I think I I seem to know that </u><u> is that Gandalf? does Ian McKellen </u><u> er </u><u> play Gandalf? </u><u> </u><u> in Lord of
"Discussing|Explaining,(Unknown)",him quickly what does he look like? </u><u> oh I dunno you you would he''s done all sorts of things like </u><u> yeah you''d know </u><u> Morse </u><u>,right,I''m </u><u> have you heard of darling? </u><u> Ian McKellen? </u><u> no Ian McDiarmid </u><u> Ian McDiarmid </u><u> Ian McDiarmid </u><u> I probably have I think I''ve
"Discussing|Explaining,(Unknown)",''s about that much </u><u> ye </u><u> bit small I think he </u><u> he is his father''s son you see in certain elements still </u><u>,right,okay remind </unclea> he needs to go to the shed and find the skirting board </u><u> board sample </u><u> so that you can take
"Discussing|Explaining,(Unknown)",of the alcove like that and there''s one for that and one for that and one for that and one for that and they fold all back </u><u>,right,and and </u><u> so you can have a </u><u> rest where? </u><u> against against </u><u> the wall? </u><u> the wall </u><u> yeah </u><u> erm but they''re also louvred </u><u> oh right yeah </u><u> so
"Discussing|Explaining,(Unknown)",to watch </u><u> I tend to fall asleep quite rapidly </u><u> he keeps falling asleep </u><u> is that cos it''s boring or I''m tired? </u><u> no you''re tired </u><u>,right,no I I said I''ll catch up on it when gets back I think </u><u> got to do his impression again he got to do his
"Discussing|Explaining,(Unknown)",out of his pockets </u><u> </u><u> Mared gives him a pair of blue gloves to put on </u><u> yes or it''s to get his torch out </u><u> mm </u><u>,right,what would you like? </u><u> has left me both his rugs yeah yeah </u><u> mm well I might
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",in the country but it''s the highest lighthouse in the country because </u><u> mm </u><u> it''s right on top of the highest cliff </u><u>,right,okay so the cliff gives it its height </u><u> the cliff gives it its height and the lighthouse is the shortest one so </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",a bit more part of the village you know </u><u> yeah being </u><u> and you </u><u> yeah </u><u> the little bits yeah </u><u> yeah that was quite nice wasn''t it? </u><u> mm </u><u>,right,so do you want a bag of seed? </u><u> yes I want a bag of seed </unclea> </u><u> right I''ll get you some money then </u><u> well give it
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",yeah </u><u> yeah that was quite nice wasn''t it? </u><u> mm </u><u> right so do you want a bag of seed? </u><u> yes I want a bag of seed </unclea> </u><u>,right,I''ll get you some money then </u><u> well give it when you get back when I come back </u><u> okay </u><u> and if if the seed I get has got aniseed in it </u>
"Discussing|Explaining|Complaining,Health, politics, finance, TV",innit? </u><u> mm </u><u> it''s all we had that ain''t processed that''s ''s own cooking </u><u> </u><u> ''s own cooking </u><u>,right,so what did you say? </u><u> well I sent I sent a text I put um hang on let me find it I se I sent one yesterday as
"Discussing|Explaining|Complaining,Health, politics, finance, TV",sleeping </u><u> yeah </u><u> is it beta? </u><u> or theta theta </u><u> I can''t remember but it makes you </u><u> alpha is awake beta is </u><u>,right,I can''t remember which one it is but it puts you in the </u><u> it''s either beta or theta </u><u> same when you are
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",solar plexus which is yellow </u><u> mm </u><u> which is around here this is where you keep a lot of your emotions </u><u>,right,yeah </u><u> okay? and then you''ve got your erm heart chakra which is green </u><u> mm </u><u> then you''ve got your throat chakra which is blue </u>
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",got er a decent fridge now there and erm we took out a m microwave oven thing so that we can use a combination one </u><u>,right,so you can cook with that then if you want to? </u><u> yeah er so when we were out last winter er you know like most of the cos you don''t
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",so I think she should put deceased on it </u><u> yeah she should do just return to sender and put deceased </u><u> deceased </u><u> yeah do that </u><u>,right,we''ll do that then </u><u> if you look on on the net there''s something about mailing preferences deceased or just something like
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",and I''ll </u><u> okay </u><u> and I''m out for er quite a bit of Wednesday but no you know whatever if you get a cancellation just let me know </u><u>,right,sure </u><u> that sounds really good </u><u> no problem at all typical er somebody I had an hour and a half free on Mon Monday
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",in them because of something or I don''t I don''t really know she was telling me but I can''t remember what she was saying </u><u>,right,yeah yeah </u><u> you know so she''s got physio and that''s on her birthday on the twenty-second </u><u> okay so she''s </u><u> but the
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",yeah exactly </u><u> but if you need anything </u><u> yeah </u><u> just let me know </u><u> yeah oh thanks </u><u> cos I have Tuesdays and Thursdays off you see </u><u>,right,okay </u><u> with the boys erm well with so </u><u> yeah okay </u><u> you know I can always drop something by if you need it or whatever </u>
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",you could say was related to would be a foundation type course </u><u> right </u><u> in an art school so it''s quite diagnostic in a sense </u><u>,right,okay </u><u> but it''s very erm liberally individually biased er in the sense that people are encouraged to sort of work in a way
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",''ll learn more from each other than they would from me </u><u> right </u><u> cos cos they work they''re encouraged to experiment really </u><u>,right,okay so what sort of qualification do they get afterwards is it in line with an art access course or anything? </u><u> no there is
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",''s </u><u> right </u><u> quite a healthy mix but the the the the art on the Friday is seen as just an integral part of the whole centre really </u><u>,right,great erm and ha have you seen that wonderful new film er Lady in the Van with? </u><u> Alan Bennett''s? </u><u> yeah </u><u> no </u><u> oh God </u><u> but I know a lot
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",<u> right </u><u> and we''ve been taking students there for years I''ve I took I''ve taken them there from various art schools </u><u>,right,yeah </u><u> and it''s a wonderful competition where they come from well university was there this year
"Discussing,meeting; making arrangements for going to local dramatic performance; discussing",that her </u><u> yeah well you don''t wanna start like comforting her all the time </u><u> her change happened from cuddling I think </u><u> yeah </u><u>,right,at the end of the holiday which means that she''s jet-lagged and she''s gets well demanding and she want want want and </u><u> mm </u><u> and
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",oh yeah </u><u> like now if they were born now they would''ve just like parted them straight away </u><u> yeah right </u><u> so </u><u>,right,I see </u><u> but anyway yeah they had millions of ancestors but I just wonder like wouldn''t it be weird? </u><u> D
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",it </u><u> it''s terrible </u><u> me mam loved that and uh London''s Burning </u><u> and perhaps also Heartbeat? </u><u> um more of me Nana liked Heartbeat </u><u>,right,were they not on sort of in succession? </u><u> u? um well let''s think </u><u> Sunday night isn''t it? </u>
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",boiled vegetables roast vegetables are lovely but I think like we could maybe go for less but more special </u><u>,right,? </u><u> you know? </u><u> I don''t really </u><u> I don''t know like um cauliflower cheese uh or </u><u> why less? Why less? Then we''d just you
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",''d be going oh so ''s round ''s </u><u> yeah </u><u> cheers for the invite </u><u> yeah </u><u>,right,well </u><u> </u><u> yeah I haven''t seen because sometimes when we''re get together as a three we do
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",you to fill your tank up </u><u> yeah </u><u> like so what is it a one point six? </u><u> it''s a one point five diesel </u><u> it''s a diesel? </u><u> yes so </u><u>,right,okay that makes it a bit more understandable then </u><u> yeah so my I pay I paid fifty pound to fill up my tank yesterday but I can
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",<u> restaurants </u><u> and restaurants and things </u><u> right </u><u> and then when we came to use it at Doge''s palace or c or the Correr museum </u><u>,right,didn''t work? </u><u> it didn''t it didn''t work no </u><u> you had to it </u><u> it </u><u> someone had used it </u><u> you needed that </u><u> and a slip of a pay card </u><u> and like a
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",<u> and a slip of a pay card </u><u> and like a booklet of coupons for like each museum and they hadn''t given us that so it didn''t work </u><u>,right,so you don''t wanna keep it? </u><u> well we''re gonna check it I was gonna look online </u><u> at what it would have got us had it
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",would we not kill like everything else? </u><u> this was in my biology exam so I''m gonna have a little </u><u> </u><u> go on </u><u> basically </u><u>,right,go on you first </u><u> they''re doing it at the moment where you can genetically modify mosquitoes </u><u> okay so that the </u><u> so that like
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",erm </u><u> it looked nice </u><u> did he show you photos? </u><u> yeah </u><u> have they bought it or </u><u> they </u><u> are they renting it? </u><u> no they''re renting it </u><u>,right,so they''re obviously wanting </u><u> what they rent it all year? </u><u> mm </u><u> mm that''s alright then </u><u> I don''t know why you''d do that </u><u> it''s like
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",a small enough business for it not to be too risky so he''s gonna work for them for a year while he hands over all his clients </u><u>,right,right as a retirement phase thing? </u><u> yeah </u><u> is it strong white coffee? </u><u> mm you''d want sugar in it would
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",after that as we were leaving the gas station he told us about being gay I remember word for word I remember </u><u>,right,anyway go on then </u><u> cos he''s supposed to be a bit of a womaniser </u><u> yeah </u><u> isn''t he? </u><u> maybe it''s all a cover </u><u> yeah </u>
